x,y,species cloglog values
228.0,228.0,0.6319602
229.0,229.0,0.6319602
230.0,230.0,0.59380126
231.0,231.0,0.6319602
232.0,232.0,0.6319602
233.0,233.0,0.6319602
234.0,234.0,0.6319602
235.0,235.0,0.6319602
236.0,236.0,0.6319602
237.0,237.0,0.6319602
238.0,238.0,0.6319602
239.0,239.0,0.62330157
240.0,240.0,0.62330157
241.0,241.0,0.6319602
242.0,242.0,0.6319602
243.0,243.0,0.6319602
244.0,244.0,0.62330157
245.0,245.0,0.6319602
246.0,246.0,0.6555937
247.0,247.0,0.6319602
248.0,248.0,0.6319602
249.0,249.0,0.62330157
250.0,250.0,0.6555937
251.0,251.0,0.6319602
252.0,252.0,0.6319602
253.0,253.0,0.6319602
254.0,254.0,0.6319602
255.0,255.0,0.6319602
256.0,256.0,0.62330157
257.0,257.0,0.62330157
258.0,258.0,0.6319602
259.0,259.0,0.6319602
260.0,260.0,0.6319602
261.0,261.0,0.6319602
262.0,262.0,0.5851979
263.0,263.0,0.6469464
264.0,264.0,0.59380126
265.0,265.0,0.6319602
266.0,266.0,0.6319602
267.0,267.0,0.6319602
268.0,268.0,0.6319602
269.0,269.0,0.6319602
270.0,270.0,0.6319602
271.0,271.0,0.6319602
272.0,272.0,0.6319602
273.0,273.0,0.6469464
274.0,274.0,0.6319602
275.0,275.0,0.6319602
276.0,276.0,0.6319602
277.0,277.0,0.6319602
278.0,278.0,0.6319602
279.0,279.0,0.62330157
280.0,280.0,0.6319602
281.0,281.0,0.62330157
282.0,282.0,0.6319602
283.0,283.0,0.51420265
284.0,284.0,0.6319602
285.0,285.0,0.6319602
286.0,286.0,0.62330157
287.0,287.0,0.6319602
288.0,288.0,0.6319602
289.0,289.0,0.62330157
290.0,290.0,0.59380126
291.0,291.0,0.6319602
292.0,292.0,0.60429335
293.0,293.0,0.6319602
294.0,294.0,0.6319602
295.0,295.0,0.62330157
296.0,296.0,0.6469464
297.0,297.0,0.62330157
298.0,298.0,0.6319602
299.0,299.0,0.6319602
300.0,300.0,0.6319602
301.0,301.0,0.6319602
302.0,302.0,0.6319602
303.0,303.0,0.6319602
304.0,304.0,0.6319602
305.0,305.0,0.6319602
306.0,306.0,0.6555937
307.0,307.0,0.54268605
308.0,308.0,0.6319602
309.0,309.0,0.6319602
310.0,310.0,0.6319602
311.0,311.0,0.6319602
312.0,312.0,0.6469464
313.0,313.0,0.6319602
314.0,314.0,0.62330157
315.0,315.0,0.6555937
316.0,316.0,0.6319602
317.0,317.0,0.6319602
318.0,318.0,0.62330157
319.0,319.0,0.6319602
320.0,320.0,0.6319602
321.0,321.0,0.62330157
322.0,322.0,0.6555937
323.0,323.0,0.6319602
324.0,324.0,0.6319602
325.0,325.0,0.6319602
326.0,326.0,0.6319602
327.0,327.0,0.55112916
328.0,328.0,0.6319602
329.0,329.0,0.6319602
330.0,330.0,0.6555937
331.0,331.0,0.6555937
332.0,332.0,0.5851979
333.0,333.0,0.6319602
334.0,334.0,0.6319602
335.0,335.0,0.51420265
336.0,336.0,0.6319602
337.0,337.0,0.6319602
338.0,338.0,0.6319602
339.0,339.0,0.6319602
340.0,340.0,0.62330157
341.0,341.0,0.6319602
342.0,342.0,0.6319602
343.0,343.0,0.6555937
344.0,344.0,0.6319602
345.0,345.0,0.6319602
346.0,346.0,0.6319602
347.0,347.0,0.6319602
348.0,348.0,0.6319602
349.0,349.0,0.62330157
350.0,350.0,0.60429335
351.0,351.0,0.6319602
352.0,352.0,0.6319602
353.0,353.0,0.6319602
354.0,354.0,0.6319602
355.0,355.0,0.62330157
356.0,356.0,0.6319602
357.0,357.0,0.6319602
358.0,358.0,0.6319602
359.0,359.0,0.6319602
360.0,360.0,0.6555937
361.0,361.0,0.6319602
362.0,362.0,0.6319602
363.0,363.0,0.62330157
364.0,364.0,0.6319602
365.0,365.0,0.55112916
366.0,366.0,0.6319602
367.0,367.0,0.59380126
368.0,368.0,0.6319602
369.0,369.0,0.62330157
370.0,370.0,0.6555937
371.0,371.0,0.6319602
372.0,372.0,0.6319602
373.0,373.0,0.6319602
374.0,374.0,0.62330157
375.0,375.0,0.6319602
376.0,376.0,0.6319602
377.0,377.0,0.6319602
378.0,378.0,0.6319602
379.0,379.0,0.6319602
380.0,380.0,0.6319602
381.0,381.0,0.6319602
382.0,382.0,0.62330157
383.0,383.0,0.6319602
384.0,384.0,0.6319602
385.0,385.0,0.62330157
386.0,386.0,0.62330157
387.0,387.0,0.6319602
388.0,388.0,0.62330157
389.0,389.0,0.5807796
390.0,390.0,0.55112916
391.0,391.0,0.6319602
392.0,392.0,0.6319602
393.0,393.0,0.6319602
394.0,394.0,0.6319602
